"ID",y,x
14,-107162.092379425,11351720.8827132
14,-107161.415090272,11351717.4280984
14,-107165.176364569,11351731.0517487
14,-107162.853169982,11351724.3892771
14,-107167.605327616,11351722.5116884
14,-107164.384029033,11351727.8531687
14,-107164.322794671,11351726.7511057
14,-107164.599277094,11351724.8382657
14,-107165.538203984,11351725.7288216
14,-107166.67938983,11351728.2446421
14,-107164.651233522,11351724.2649703
14,-107165.36377883,11351725.216752
14,-107165.772007912,11351725.3930079
14,-107166.671967483,11351727.5915679
14,-107167.202665292,11351725.1740796
14,-107163.625094061,11351723.9477098
14,-107164.536187147,11351727.2576094
14,-107165.365634417,11351727.2817285
14,-107165.940866306,11351725.6416214
14,-107165.63655008,11351724.8716616
14,-107161.422512618,11351724.3521707
14,-107165.554904264,11351723.8753521
14,-107165.805408474,11351721.2445015
14,-107167.501414758,11351725.1035772
14,-107169.561116055,11351727.0794982
14,-107164.552887427,11351721.9921975
14,-107165.285844187,11351716.5171338
14,-107160.344416737,11351713.9493643
14,-107156.787257023,11351713.5003756
14,-107154.985482346,11351710.3463234
14,-107154.133768058,11351708.8156804
14,-107132.441960352,11351699.1401613
14,-107127.61743528,11351690.3663301
14,-107111.711347677,11351677.0154125
14,-107110.494082951,11351673.842807
14,-107109.143216003,11351669.8575692
14,-107109.382586657,11351665.3305767
14,-107109.545878265,11351663.642231
14,-107109.245273258,11351661.8407106
14,-107095.374764694,11351666.0059148
14,-107096.931601684,11351659.3026262
14,-107091.292474645,11351652.6401547
14,-107053.611083974,11351623.1423449
14,-106962.360788342,11351571.9149706
14,-106963.604030795,11351574.5643745
14,-106950.331026137,11351557.0426866
14,-106952.823077723,11351561.8127268
14,-106980.983447353,11351579.3678105
14,-106986.904621806,11351579.8130885
14,-106991.888725476,11351580.712921
14,-106993.619987117,11351582.4624924
14,-106993.683077037,11351582.683276
14,-106997.360848308,11351587.0970938
14,-107001.810543365,11351593.8300677
14,-107012.641598646,11351599.6724856
14,-107017.404887917,11351598.846866
14,-107020.676286077,11351613.1940932
14,-107020.004563935,11351614.5317823
14,-107019.676125208,11351614.5614675
14,-107019.915495804,11351614.5020972
14,-107018.412471124,11351619.8769732
14,-107019.551800944,11351619.5188955
14,-107016.543896007,11351619.7675091
14,-107015.489923155,11351619.6172278
14,-107015.395288269,11351617.37414
14,-107015.14849533,11351619.2665714
14,-107015.707026716,11351620.0810589
14,-107004.122603452,11351625.9308982
14,-107000.528333483,11351629.0868057
14,-106975.941820665,11351607.2904494
14,-106945.051884891,11351591.2511662
14,-106936.417844901,11351579.8501949
14,-106940.900939786,11351573.6868059
14,-106938.368065394,11351576.8241602
14,-106942.793637146,11351594.9358413
14,-106950.874712744,11351610.9510054
14,-106961.395883755,11351616.5336779
14,-106962.51851313,11351633.3800274
14,-106967.333758177,11351641.1965111
14,-106960.950543178,11351644.8088285
14,-106959.104235371,11351645.7476229
14,-106961.056311565,11351646.588085
14,-106963.837834599,11351653.2264373
14,-106963.871235143,11351655.1448433
14,-106963.620731066,11351654.3043811
14,-106965.968047052,11351662.8351647
14,-106970.337951551,11351660.0410455
14,-106969.20789981,11351661.2674153
14,-106973.644605435,11351657.2506369
14,-106981.6978479,11351652.1021104
14,-106982.495749814,11351650.5659015
14,-106982.566262076,11351650.8998599
14,-106983.93197326,11351650.0927936
14,-106992.662504794,11351648.6011125
14,-106986.912044151,11351656.9686275
14,-106990.708572852,11351660.7108178
14,-106989.45234121,11351661.1783597
14,-106990.480335789,11351661.6236376
14,-106996.568513122,11351669.1803757
14,-106995.972870044,11351670.7202953
14,-107024.749297438,11351669.0746222
